Norsk eksport av fisk totalt per marked;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
Mauritania;;; . ; -   ; 2 ; 128,32 ;;; . 
Aruba;;; . ;;; . ; -   ; -   ; . 
Aserbajdsjan;;; . ;;; . ; 46 ; 1 681 ; 36,33 
Sentralafrikanske Republikk;;; . ;;; . ; 162 ; 1 332 ; 8,22 
Chile;;; . ;;; . ; 47 ; 1 415 ; 30,17 
Kamerun;;; . ;;; . ; 171 ; 1 996 ; 11,71 
Kapp Verde;;; . ;;; . ; -   ; -   ; . 
CURACAO;;; . ;;; . ; -   ; -   ; . 
Ecuador;;; . ;;; . ; -   ; -   ; . 
Etiopia;;; . ;;; . ; -   ; -   ; . 
Guinea;;; . ;;; . ; -   ; -   ; . 
St. Kitts-Nevis;;; . ;;; . ; 23 ; 1 192 ; 52,51 
Liberia;;; . ;;; . ; -   ; -   ; . 
Mali;;; . ;;; . ; -   ; -   ; . 
Mosambik;;; . ;;; . ; -   ; -   ; . 
Papua - Ny Guinea;;; . ;;; . ; -   ; 66 ; 428,81 
El Salvador;;; . ;;; . ; 1 ; 112 ; 112,05 
Tadsjikistan;;; . ;;; . ; -   ; -   ; . 
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av fisk totalt per produkt;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
Totalt; 159 812 ; 12 926 759 ; 80,89 ; 917 166 ; 54 358 701 ; 59,27 ; 976 979 ; 45 372 366 ; 46,44 
SITC03; 146 298 ; 12 597 958 ; 86,11 ; 816 716 ; 52 563 610 ; 64,36 ; 874 675 ; 44 162 100 ; 50,49 
Laks, atlanterhavs-/donau-, oppdrettet, fersk hel med hode; 62 915 ; 7 147 125 ; 113,60 ; 261 688 ; 27 888 967 ; 106,57 ; 281 074 ; 23 187 214 ; 82,50 
Laks, fersk filet; 9 600 ; 1 526 404 ; 159,00 ; 39 576 ; 5 963 787 ; 150,69 ; 42 771 ; 4 821 705 ; 112,73 
Laks, fryst filet; 4 476 ; 741 301 ; 165,61 ; 21 158 ; 3 277 625 ; 154,91 ; 20 350 ; 2 353 888 ; 115,67 
Makrell, under 600 g, fryst hel*; 7 001 ; 144 034 ; 20,57 ; 74 155 ; 1 421 960 ; 19,18 ; 66 198 ; 1 214 447 ; 18,35 
Torsk, atlanterhavs-, ikke oppdrettet/oppfôret ellers, fersk hel; 4 773 ; 237 331 ; 49,72 ; 19 645 ; 1 048 160 ; 53,35 ; 24 700 ; 1 088 349 ; 44,06 
Torsk, atlanterhavs-, fryst hel; 4 037 ; 217 627 ; 53,91 ; 19 429 ; 1 004 500 ; 51,70 ; 29 873 ; 1 253 489 ; 41,96 
Ørret, oppdrettet, fersk hel med hode; 1 736 ; 201 586 ; 116,09 ; 7 502 ; 830 682 ; 110,74 ; 8 626 ; 704 216 ; 81,64 
Sei, klippfisk, ikke filet; 2 470 ; 116 301 ; 47,08 ; 16 865 ; 803 517 ; 47,64 ; 15 462 ; 606 440 ; 39,22 
Torsk, saltet hel, ikke biprodukter; 3 973 ; 357 469 ; 89,98 ; 8 489 ; 738 338 ; 86,98 ; 10 555 ; 723 736 ; 68,57 
Torsk, atlanterhavs-, klippfisk, ikke biprodukter; 1 470 ; 167 876 ; 114,17 ; 6 216 ; 702 772 ; 113,06 ; 6 586 ; 591 346 ; 89,79 
Laks, atlanterhavs-/donau-, oppdrettet, fryst hel med hode; 1 299 ; 123 936 ; 95,38 ; 6 914 ; 634 175 ; 91,72 ; 5 602 ; 403 357 ; 72,00 
Fiskefett og oljer, til dyrefôr, ikke tran,; 7 307 ; 166 639 ; 22,80 ; 29 282 ; 621 770 ; 21,23 ; 28 564 ; 333 068 ; 11,66 
NVG-sild, fryst hel*; 3 553 ; 40 914 ; 11,52 ; 33 802 ; 409 605 ; 12,12 ; 48 267 ; 447 654 ; 9,27 
Snøkrabbe, fryst, også røykt; 769 ; 76 806 ; 99,94 ; 3 597 ; 371 823 ; 103,38 ; 1 745 ; 342 505 ; 196,30 
Sild, fryst filet uten skinn av norsk vårgytende sild (NVG-sild); 3 524 ; 61 180 ; 17,36 ; 21 828 ; 367 258 ; 16,82 ; 14 496 ; 228 584 ; 15,77 
Hyse, fryst hel*; 3 898 ; 112 452 ; 28,85 ; 11 439 ; 352 517 ; 30,82 ; 17 214 ; 609 444 ; 35,40 
Mel og pellets av fisk, krepsdyr, bløtdyr eller av andre virvelløse dyr som lever i vann, til dyrefôr; 3 920 ; 93 172 ; 23,77 ; 15 727 ; 318 762 ; 20,27 ; 14 506 ; 245 934 ; 16,95 
Sei, fryst hel*; 2 511 ; 63 131 ; 25,14 ; 11 521 ; 302 830 ; 26,29 ; 12 859 ; 282 576 ; 21,97 
Fisk/sjøpattedyr, fett/oljer, ikke til dyrefôr;;; . ; 893 ; 300 889 ; 337,13 ; 1 236 ; 284 871 ; 230,39 
Torsk, tørrfisk, lofotrundfisk, ikke biprodukter; 157 ; 44 301 ; 282,12 ; 1 013 ; 288 028 ; 284,34 ; 1 022 ; 208 718 ; 204,29 
Sildelapper, fryste, vårgytende sild; 2 737 ; 46 162 ; 16,87 ; 17 656 ; 284 140 ; 16,09 ; 17 708 ; 241 246 ; 13,62 
Skrei, fersk hel; 682 ; 39 173 ; 57,44 ; 4 212 ; 282 474 ; 67,06 ; 4 475 ; 239 418 ; 53,51 
Ørret, fersk filet; 378 ; 57 469 ; 152,14 ; 1 855 ; 267 405 ; 144,18 ; 2 216 ; 216 640 ; 97,77 
Laks, fryst fiskekjøtt, ikke surimi; 1 134 ; 83 455 ; 73,61 ; 4 543 ; 255 255 ; 56,19 ; 4 552 ; 159 436 ; 35,03 
Sildeolje og andre fiskeoljer, ikke dyrefôr/ikke tran; 1 865 ; 46 198 ; 24,78 ; 9 035 ; 254 571 ; 28,18 ; 7 095 ; 139 991 ; 19,73 
Torsk, fryst filet, ikke blokk; 552 ; 78 034 ; 141,32 ; 1 804 ; 227 006 ; 125,84 ; 3 034 ; 306 427 ; 100,99 
Sei, fersk hel*; 1 660 ; 36 806 ; 22,17 ; 8 876 ; 214 938 ; 24,22 ; 5 885 ; 116 182 ; 19,74 
Torsk, atlanterhavs-, oppdrettet/oppfôret, fersk hel; 1 066 ; 51 727 ; 48,53 ; 4 130 ; 198 026 ; 47,95 ; 2 301 ; 98 922 ; 42,99 
Torsk, ikke oppdrettet/oppfôret, fersk filet; 411 ; 51 245 ; 124,72 ; 1 549 ; 195 677 ; 126,29 ; 1 844 ; 180 453 ; 97,86 
Kolmule, fersk hel*;;; . ; 56 403 ; 187 950 ; 3,33 ; 67 004 ; 179 292 ; 2,68 
Kongekrabbe, levende; 29 ; 10 071 ; 353,06 ; 403 ; 184 667 ; 458,26 ; 310 ; 168 494 ; 542,94 
Lodde, fryst hel; 2 571 ; 27 199 ; 10,58 ; 16 764 ; 176 537 ; 10,53 ; 10 883 ; 119 377 ; 10,97 
Uer, fryst hel*; 1 331 ; 30 944 ; 23,25 ; 7 434 ; 169 906 ; 22,85 ; 5 403 ; 81 477 ; 15,08 
Mel og pellets av fisk, krepsdyr, bløtdyr eller av andre virvelløse dyr som lever i vann, ikke til dyrefôr; 112 ; 2 589 ; 23,11 ; 6 842 ; 146 768 ; 21,45 ; 3 489 ; 59 005 ; 16,91 
Makrell, fryst filet; 537 ; 22 407 ; 41,71 ; 4 365 ; 143 400 ; 32,85 ; 2 676 ; 96 112 ; 35,91 
Lodde, fersk hel;;; . ; 23 705 ; 137 836 ; 5,81 ; 29 494 ; 85 485 ; 2,90 
Blåkveite, fryst hel*; 185 ; 12 034 ; 65,01 ; 2 185 ; 124 580 ; 57,01 ; 2 440 ; 117 697 ; 48,24 
Laks, røykt, også filet, ikke biprodukter; 124 ; 25 949 ; 208,54 ; 635 ; 121 863 ; 191,88 ; 618 ; 96 671 ; 156,41 
Laks, fryste spiselige biprodukter; 1 670 ; 24 784 ; 14,84 ; 9 373 ; 119 425 ; 12,74 ; 8 163 ; 68 543 ; 8,40 
Hyse, fersk hel*; 1 157 ; 28 199 ; 24,38 ; 4 528 ; 116 513 ; 25,73 ; 6 334 ; 136 481 ; 21,55 
Sild, tilberedt/konservert, hel/stykker, eddikbehandlet; 676 ; 15 204 ; 22,51 ; 4 647 ; 104 458 ; 22,48 ; 5 217 ; 109 997 ; 21,08 
Ørret, oppdrettet, fryst hel, ikke med hode*; 242 ; 17 803 ; 73,61 ; 1 452 ; 104 199 ; 71,78 ; 1 154 ; 59 120 ; 51,23 
Torsk, fryst filetblokk; 186 ; 9 335 ; 50,24 ; 1 381 ; 102 068 ; 73,91 ; 1 335 ; 57 829 ; 43,33 
Brosme, klippfisk, ikke filet; 129 ; 6 552 ; 50,76 ; 1 610 ; 96 536 ; 59,96 ; 1 406 ; 56 994 ; 40,54 
Kongekrabbe, fryst; 36 ; 26 597 ; 748,36 ; 146 ; 95 151 ; 653,39 ; 147 ; 115 923 ; 789,71 
Ørret, røykt, også filet, ikke biprodukter; 95 ; 19 092 ; 200,19 ; 456 ; 89 288 ; 195,79 ; 397 ; 63 780 ; 160,70 
Kveite, atlanterhavs-/stillehavs-, oppdrettet, fersk hel*; 70 ; 10 231 ; 145,87 ; 537 ; 82 008 ; 152,59 ; 541 ; 65 692 ; 121,48 
