Norsk eksport av fisk totalt per marked;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av industrifisk;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT;;; . ; 56 ; 1 777 ; 31,90 ; 35 ; 428 ; 12,42 
Færøyene;;; . ; 56 ; 1 777 ; 31,90 ;;; . 
;;;;;;;;;
Varenr: 05119111 og 05119191;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av medisintran;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 39 ; 5 197 ; 132,97 ; 324 ; 46 208 ; 142,63 ; 359 ; 42 614 ; 118,62 
EU27; 15 ; 2 417 ; 160,83 ; 218 ; 34 009 ; 155,69 ; 177 ; 23 928 ; 134,86 
Danmark; 9 ; 1 466 ; 169,08 ; 38 ; 6 701 ; 174,39 ; 30 ; 4 404 ; 145,79 
Polen; 4 ; 647 ; 144,01 ; 42 ; 5 891 ; 141,07 ; 43 ; 5 225 ; 122,21 
Hellas;;; . ; 30 ; 5 653 ; 185,48 ; 7 ; 1 233 ; 167,43 
U S A; 15 ; 1 946 ; 133,25 ; 48 ; 5 080 ; 106,09 ; 141 ; 15 206 ; 107,96 
Finland;;; . ; 25 ; 3 451 ; 140,27 ; 19 ; 2 248 ; 116,90 
Litauen;;; . ; 21 ; 3 137 ; 153,02 ; 18 ; 1 965 ; 110,35 
Romania;;; . ; 15 ; 2 966 ; 194,20 ; 25 ; 4 452 ; 175,42 
Nederland;;; . ; 20 ; 2 235 ; 111,21 ; 15 ; 1 342 ; 88,29 
Kina;;; . ; 20 ; 2 155 ; 109,33 ; -   ; -   ; . 
Sverige; 2 ; 301 ; 162,45 ; 11 ; 1 786 ; 162,47 ; 4 ; 617 ; 138,11 
Tsjekkia;;; . ; 9 ; 1 101 ; 118,12 ; 2 ; 187 ; 99,34 
Kasakhstan;;; . ; 6 ; 950 ; 170,05 ; -   ; -   ; . 
Bosnia-Hercegovina; 1 ; 147 ; 210,97 ; 4 ; 851 ; 203,56 ; 4 ; 597 ; 148,19 
Tyskland;;; . ; 4 ; 820 ; 198,65 ; 4 ; 722 ; 166,22 
Singapore;;; . ; 4 ; 691 ; 166,50 ; 4 ; 323 ; 82,44 
New Zealand; 9 ; 684 ; 78,24 ; 9 ; 684 ; 78,24 ;;; . 
Brasil;;; . ; 8 ; 620 ; 81,62 ; 8 ; 535 ; 70,42 
Georgia;;; . ; 2 ; 434 ; 221,24 ; -   ; -   ; . 
Sør-Korea;;; . ; 3 ; 414 ; 161,64 ;;; . 
Italia;;; . ; 3 ; 220 ; 82,71 ; -   ; -   ; . 
Storbritannia;;; . ; 3 ; 196 ; 68,15 ; 4 ; 319 ; 88,42 
Island;;; . ; -   ; 120 ; 465,06 ;;; . 
Spania; -   ; 3 ; 223,87 ; -   ; 48 ; 228,95 ; -   ; 53 ; 204,43 
;;;;;;;;;
Varenr: 15041091;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av sildolje, fiskeoljer, mel og pellets;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 9 284 ; 215 426 ; 23,20 ; 45 159 ; 1 023 109 ; 22,66 ; 39 148 ; 532 063 ; 13,59 
EU27; 3 108 ; 78 800 ; 25,35 ; 18 418 ; 402 812 ; 21,87 ; 18 498 ; 219 222 ; 11,85 
Tyrkia; 5 161 ; 110 927 ; 21,49 ; 18 190 ; 389 046 ; 21,39 ; 14 221 ; 182 695 ; 12,85 
Danmark; 1 456 ; 37 819 ; 25,97 ; 8 740 ; 204 414 ; 23,39 ; 6 266 ; 71 733 ; 11,45 
Storbritannia; 20 ; 3 277 ; 161,68 ; 3 870 ; 106 589 ; 27,55 ; 1 795 ; 29 544 ; 16,46 
U S A; 451 ; 10 111 ; 22,41 ; 1 877 ; 62 954 ; 33,54 ; 1 102 ; 49 336 ; 44,77 
Hellas; 656 ; 15 764 ; 24,02 ; 2 579 ; 48 726 ; 18,89 ; 3 829 ; 38 126 ; 9,96 
Spania; 344 ; 6 754 ; 19,64 ; 1 815 ; 41 491 ; 22,86 ; 3 979 ; 48 249 ; 12,13 
Nederland; 46 ; 1 160 ; 25,49 ; 2 449 ; 31 988 ; 13,06 ; 1 503 ; 16 519 ; 10,99 
Italia; 154 ; 4 370 ; 28,45 ; 851 ; 22 578 ; 26,52 ; 761 ; 10 784 ; 14,16 
Tyskland; 242 ; 5 350 ; 22,14 ; 927 ; 20 319 ; 21,92 ; 742 ; 10 940 ; 14,75 
Sveits;;; . ; 1 201 ; 14 755 ; 12,29 ; 4 ; 928 ; 248,69 
Bangladesh; 288 ; 6 140 ; 21,32 ; 491 ; 10 284 ; 20,96 ; 652 ; 8 628 ; 13,23 
Belgia; 67 ; 1 833 ; 27,45 ; 342 ; 8 665 ; 25,35 ; 892 ; 11 835 ; 13,27 
Nigeria;;; . ; 290 ; 6 873 ; 23,74 ;;; . 
Polen; 72 ; 1 813 ; 25,36 ; 263 ; 6 512 ; 24,80 ; 23 ; 274 ; 11,90 
Taiwan; 101 ; 2 348 ; 23,35 ; 191 ; 6 114 ; 32,05 ; 300 ; 5 435 ; 18,10 
India;;; . ; 36 ; 5 699 ; 159,54 ; 15 ; 1 640 ; 107,93 
Litauen; 10 ; 1 257 ; 121,81 ; 38 ; 5 682 ; 148,90 ; 13 ; 962 ; 75,29 
Sverige; 27 ; 1 716 ; 64,29 ; 145 ; 5 622 ; 38,74 ; 108 ; 2 532 ; 23,50 
Kina;;; . ; 52 ; 5 180 ; 99,47 ; 91 ; 7 617 ; 83,68 
Canada; 44 ; 989 ; 22,47 ; 202 ; 4 130 ; 20,49 ; 224 ; 2 843 ; 12,70 
Frankrike; 32 ; 835 ; 26,38 ; 126 ; 3 033 ; 24,04 ; 78 ; 1 515 ; 19,49 
Georgia; 88 ; 2 293 ; 26,05 ; 88 ; 2 293 ; 26,05 ; 512 ; 6 095 ; 11,90 
Israel; 22 ; 454 ; 20,37 ; 89 ; 1 770 ; 19,93 ; 43 ; 531 ; 12,21 
Tsjekkia; -   ; 10 ; 114,92 ; 60 ; 1 547 ; 25,75 ; 51 ; 821 ; 16,19 
Brasil;;; . ; 70 ; 1 511 ; 21,62 ; 87 ; 1 206 ; 13,80 
Portugal;;; . ; 68 ; 1 414 ; 20,79 ; 2 ; 125 ; 81,07 
Tunisia;;; . ; 44 ; 962 ; 21,63 ;;; . 
Sør Afrika;;; . ; 21 ; 760 ; 36,77 ; 33 ; 1 583 ; 47,31 
Hong Kong;;; . ; 26 ; 661 ; 25,72 ; 6 ; 1 178 ; 199,09 
Finland; 4 ; 119 ; 31,44 ; 9 ; 285 ; 30,70 ; 223 ; 3 890 ; 17,41 
Singapore; -   ; 87 ; 219,19 ; 1 ; 269 ; 314,47 ; -   ; -   ; . 
Costa Rica;;; . ; 2 ; 172 ; 99,65 ; 2 ; 124 ; 71,63 
Latvia;;; . ; 1 ; 165 ; 144,23 ; -   ; 18 ; 104,17 
Thailand;;; . ; 1 ; 136 ; 115,30 ; 277 ; 3 387 ; 12,22 
Romania;;; . ; 1 ; 116 ; 99,89 ; 3 ; 146 ; 49,71 
Slovakia;;; . ; -   ; 91 ; 247,65 ; -   ; 77 ; 214,77 
Japan;;; . ; 1 ; 60 ; 51,08 ; -   ; -   ; . 
Ungarn;;; . ; 1 ; 58 ; 54,41 ; 24 ; 523 ; 21,38 
Island;;; . ; -   ; 58 ; 131,46 ; -   ; 58 ; 153,68 
Malta;;; . ; -   ; 45 ; 99,00 ;;; . 
Irland;;; . ; 1 ; 34 ; 52,12 ; -   ; 34 ; 243,74 
Slovenia;;; . ; 1 ; 27 ; 29,92 ; -   ; -   ; . 
De Forente Arabiske Emirater;;; . ; -   ; 23 ; 388,47 ;;; . 
;;;;;;;;;
Varenr: 15042031 15042011 23012090;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk import av fisk totalt per marked;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;Mars 2023 Reviderte tall;;;Januar - mars 2023 Reviderte tall;;;Januar - mars 2022 Endelige tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 48 744 ; 1 211 859 ; 24,86 ; 169 301 ; 4 036 864 ; 23,84 ; 165 409 ; 3 010 534 ; 18,20 
EU27; 21 927 ; 668 485 ; 30,49 ; 60 122 ; 1 919 918 ; 31,93 ; 47 631 ; 1 154 753 ; 24,24 
Danmark; 14 041 ; 368 812 ; 26,27 ; 33 275 ; 963 882 ; 28,97 ; 21 401 ; 472 533 ; 22,08 
Storbritannia; 2 955 ; 32 209 ; 10,90 ; 49 604 ; 746 779 ; 15,05 ; 52 556 ; 750 662 ; 14,28 
Island; 15 955 ; 268 498 ; 16,83 ; 38 347 ; 732 005 ; 19,09 ; 46 485 ; 648 723 ; 13,96 
Belgia; 2 137 ; 88 286 ; 41,31 ; 6 999 ; 287 147 ; 41,03 ; 9 852 ; 223 204 ; 22,66 
Russland; 2 915 ; 113 104 ; 38,80 ; 4 913 ; 209 197 ; 42,58 ; 5 671 ; 203 047 ; 35,80 
Sverige; 653 ; 47 865 ; 73,25 ; 4 191 ; 184 524 ; 44,02 ; 4 461 ; 121 668 ; 27,28 
Tyskland; 214 ; 17 334 ; 81,03 ; 4 325 ; 142 849 ; 33,03 ; 2 945 ; 73 006 ; 24,79 
Irland; 3 438 ; 69 266 ; 20,15 ; 7 513 ; 139 593 ; 18,58 ; 5 141 ; 60 130 ; 11,70 
Færøyene; 3 898 ; 63 619 ; 16,32 ; 10 674 ; 132 845 ; 12,45 ; 6 375 ; 39 351 ; 6,17 
Marokko; 280 ; 13 188 ; 47,18 ; 2 887 ; 129 935 ; 45,01 ; 2 563 ; 62 360 ; 24,33 
Kina; 300 ; 23 791 ; 79,34 ; 981 ; 76 879 ; 78,37 ; 344 ; 18 035 ; 52,46 
Nederland; 571 ; 31 354 ; 54,89 ; 1 415 ; 74 716 ; 52,78 ; 703 ; 58 959 ; 83,89 
Litauen; 255 ; 13 637 ; 53,40 ; 855 ; 42 954 ; 50,22 ; 816 ; 38 259 ; 46,91 
Frankrike; 217 ; 12 006 ; 55,34 ; 609 ; 33 777 ; 55,45 ; 591 ; 22 591 ; 38,26 
Peru; 382 ; 19 694 ; 51,51 ; 591 ; 27 385 ; 46,33 ; 211 ; 5 749 ; 27,20 
Polen; 258 ; 9 671 ; 37,54 ; 524 ; 20 352 ; 38,87 ; 949 ; 26 169 ; 27,59 
Thailand; 59 ; 4 323 ; 73,62 ; 276 ; 17 475 ; 63,42 ; 426 ; 22 064 ; 51,85 
Vietnam; 23 ; 300 ; 12,88 ; 333 ; 13 256 ; 39,81 ; 321 ; 22 756 ; 70,80 
Estland; 85 ; 5 607 ; 66,11 ; 203 ; 12 675 ; 62,31 ; 213 ; 11 061 ; 51,82 
U S A; 1 ; 307 ; 341,30 ; 251 ; 12 140 ; 48,41 ; 334 ; 9 551 ; 28,62 
Spania; 29 ; 1 338 ; 45,66 ; 137 ; 10 225 ; 74,65 ; 142 ; 7 842 ; 55,05 
Japan; 17 ; 1 830 ; 106,81 ; 101 ; 7 297 ; 72,55 ; 42 ; 3 879 ; 92,31 
Canada; 3 ; 856 ; 254,02 ; 92 ; 5 411 ; 58,87 ; 462 ; 12 588 ; 27,26 
Maldivene; 29 ; 1 527 ; 51,96 ; 59 ; 2 972 ; 50,56 ; 32 ; 1 557 ; 48,68 
Hellas; 1 ; 1 525 ; 1 323,70 ; 2 ; 2 016 ; 1 252,31 ; 2 ; 2 349 ; 1 117,05 
Mauritius; -   ; -   ; . ; 31 ; 1 617 ; 52,19 ; -   ; -   ; . 
Tsjekkia; -   ; 435 ; 2 958,14 ; 1 ; 1 497 ; 2 807,73 ; 1 ; 1 182 ; 1 369,87 
Latvia; 23 ; 695 ; 29,66 ; 65 ; 1 443 ; 22,24 ; 405 ; 34 527 ; 85,18 
Portugal; -   ; 18 ; 490,58 ; 3 ; 932 ; 295,74 ; 4 ; 537 ; 125,92 
Filippinene; -   ; -   ; . ; 17 ; 850 ; 49,84 ; 9 ; 534 ; 61,82 
Italia; 2 ; 333 ; 185,12 ; 3 ; 615 ; 193,85 ; 3 ; 439 ; 132,52 
Albania; -   ; -   ; . ; 21 ; 493 ; 23,32 ; 193 ; 3 211 ; 16,63 
Finland; -   ; 15 ; 5 020,00 ; 1 ; 432 ; 417,33 ; 1 ; 195 ; 178,67 
Romania; 1 ; 288 ; 426,22 ; 1 ; 288 ; 426,22 ; -   ; 5 ; 69,76 
Bangladesh; -   ; -   ; . ; -   ; 115 ; 239,82 ; 6 ; 944 ; 147,78 
Colombia; -   ; 79 ; 224,11 ; -   ; 79 ; 224,11 ; -   ; 31 ; 148,07 
Kenya; -   ; 37 ; 603,02 ; -   ; 74 ; 781,75 ; -   ; 41 ; 2 438,76 
Sri Lanka; -   ; -   ; . ; -   ; 50 ; 122,17 ; 5 ; 372 ; 68,34 
Indonesia; -   ; 13 ; 120,72 ; -   ; 45 ; 238,37 ; -   ; 176 ; 782,70 
Singapore; -   ; -   ; . ; -   ; 44 ; 262,88 ; -   ; 67 ; 264,69 
Tanzania; -   ; -   ; . ; -   ; 4 ; 110,40 ; -   ; 4 ; 160,42 
Ungarn; -   ; -   ; . ; -   ; 3 ; 524,00 ; 1 ; 93 ; 64,03 
Argentina;;; . ;;; . ; -   ; -   ; . 
Østerrike;;; . ;;; . ; -   ; -   ; . 
Australia;;; . ;;; . ; -   ; 4 ; 299,93 
Chile;;; . ;;; . ; -   ; 4 ; 1 769,00 
Ecuador;;; . ;;; . ; -   ; -   ; . 
Grønland;;; . ;;; . ; 264 ; 11 496 ; 43,54 
Hong Kong;;; . ;;; . ; -   ; -   ; . 
Israel;;; . ;;; . ; 58 ; 5 788 ; 99,11 
India;;; . ;;; . ; 55 ; 4 026 ; 73,05 
Sør-Korea;;; . ;;; . ; -   ; -   ; . 
Myanmar/Burma;;; . ;;; . ; -   ; -   ; . 
Malaysia;;; . ;;; . ; -   ; -   ; . 
New Zealand;;; . ;;; . ; -   ; -   ; . 
Tyrkia;;; . ;;; . ; -   ; 17 ; 552,50 
Taiwan;;; . ;;; . ; 79 ; 2 650 ; 33,58 
Ukraina;;; . ;;; . ; -   ; -   ; . 
Uruguay;;; . ;;; . ; 1 196 ; 24 455 ; 20,44 
Sør Afrika;;; . ;;; . ; 88 ; 1 637 ; 18,54 
Zambia;;; . ;;; . ; -   ; 2 ; 75,40 
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk import av fisk totalt per produkt;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;Mars 2023 Reviderte tall;;;Januar - mars 2023 Reviderte tall;;;Januar - mars 2022 Endelige tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
Totalt; 48 744 ; 1 211 859 ; 24,86 ; 169 301 ; 4 036 864 ; 23,84 ; 165 409 ; 3 010 534 ; 18,20 
SITC03; 11 573 ; 466 186 ; 40,28 ; 76 133 ; 1 901 607 ; 24,98 ; 83 640 ; 1 758 400 ; 21,02 
Fiskefett og oljer, til dyrefôr, ikke tran,; 7 655 ; 271 270 ; 35,44 ; 30 325 ; 1 068 599 ; 35,24 ; 27 152 ; 536 049 ; 19,74 
Mel og pellets av fisk, krepsdyr, bløtdyr eller av andre virvelløse dyr som lever i vann, til dyrefôr; 19 629 ; 410 728 ; 20,92 ; 38 602 ; 819 706 ; 21,23 ; 34 437 ; 531 011 ; 15,42 
Makrell, fersk hel*; 1 ; 37 ; 59,15 ; 45 207 ; 731 829 ; 16,19 ; 45 190 ; 706 064 ; 15,62 
Torsk, atlanterhavs-, fryst hel; 2 131 ; 108 606 ; 50,98 ; 4 645 ; 235 485 ; 50,70 ; 4 413 ; 190 177 ; 43,10 
Sildeolje og andre fiskeoljer, ikke dyrefôr/ikke tran; 724 ; 37 026 ; 51,11 ; 3 680 ; 175 854 ; 47,79 ; 5 928 ; 117 835 ; 19,88 
Torsk, fryst filet, ikke blokk; 231 ; 28 981 ; 125,72 ; 737 ; 90 185 ; 122,37 ; 1 038 ; 92 621 ; 89,22 
NVG-sild, fersk hel*; 2 819 ; 24 325 ; 8,63 ; 8 847 ; 81 376 ; 9,20 ; 16 276 ; 121 316 ; 7,45 
Reker, tilberedt/konservert, pillede, i lake; 180 ; 25 672 ; 142,92 ; 441 ; 63 370 ; 143,72 ; 415 ; 45 571 ; 109,86 
Reker, kaldtvanns-, kokte med skall, fryst; 566 ; 37 080 ; 65,56 ; 965 ; 62 591 ; 64,89 ; 1 352 ; 75 419 ; 55,77 
Annen fisk, tilberedt/konservert, hel/stykker, fryst*; 297 ; 19 098 ; 64,29 ; 844 ; 51 276 ; 60,77 ; 747 ; 30 545 ; 40,87 
Fiskeavfall, untatt industrifisk/ikke til menneskeføde, ikke til dyrefôr; 9 061 ; 21 700 ; 2,39 ; 20 178 ; 49 915 ; 2,47 ; 13 329 ; 24 723 ; 1,85 
Makrell, tilberedt/konservert, hel/stykker; 114 ; 7 018 ; 61,74 ; 736 ; 42 343 ; 57,56 ; 518 ; 26 155 ; 50,50 
Reker, tilberedt/konservert, pillede, fryste i pakninger over 2 kg; 78 ; 9 525 ; 122,24 ; 337 ; 38 319 ; 113,85 ; 341 ; 36 368 ; 106,77 
Reker, ikke kaldtvanns-, fryst; 84 ; 9 854 ; 117,51 ; 336 ; 36 654 ; 108,96 ; 509 ; 46 985 ; 92,31 
Andre fiskeprodukter, tilberedt/konservert, ikke hel/stykker, fryst*; 266 ; 12 154 ; 45,64 ; 742 ; 33 405 ; 45,02 ; 457 ; 14 415 ; 31,51 
Andre fiskeprodukter, tilberedt/konservert, ikke hel/stykker, ikke fryst*; 109 ; 7 460 ; 68,21 ; 531 ; 31 976 ; 60,19 ; 451 ; 21 831 ; 48,45 
Sei, fryst hel*; 1 184 ; 25 462 ; 21,51 ; 1 322 ; 28 648 ; 21,67 ; 1 981 ; 37 629 ; 19,00 
Tunfisk, bukstripet pelamide og annen pelamide, tilberedt/konservert, hel/stykker; 82 ; 5 650 ; 68,90 ; 345 ; 19 986 ; 57,88 ; 517 ; 25 004 ; 48,38 
Annen fisk, fryst fiskekjøtt, ikke surimi*; 585 ; 18 493 ; 31,61 ; 613 ; 19 411 ; 31,67 ; 309 ; 9 084 ; 29,44 
Alaska pollock, fryst filet; 119 ; 5 243 ; 44,14 ; 407 ; 17 992 ; 44,19 ; 123 ; 4 209 ; 34,17 
Kaviaretterlikninger, fra fiskeegg; 88 ; 7 119 ; 81,26 ; 214 ; 17 587 ; 82,14 ; 168 ; 11 141 ; 66,44 
Torsk, tilberedt/konservert, hel/stykker, panert, fryst; 106 ; 8 195 ; 76,97 ; 230 ; 17 141 ; 74,61 ; 222 ; 13 150 ; 59,34 
Torsk, atlanterhavs-, ikke oppdrettet/oppfôret ellers, fersk hel; 478 ; 13 952 ; 29,19 ; 501 ; 14 629 ; 29,18 ; 98 ; 4 293 ; 43,60 
Torsk, fryste spiselige biprodukter; 315 ; 4 543 ; 14,42 ; 1 082 ; 14 437 ; 13,34 ; 438 ; 3 654 ; 8,34 
Reker, kaldtvanns-, rå, fryst; 191 ; 9 551 ; 49,97 ; 255 ; 13 848 ; 54,35 ; 3 ; 138 ; 53,85 
Sei, tilberedt/konservert, hel/stykker, panert, fryst; 70 ; 4 906 ; 70,51 ; 191 ; 13 185 ; 68,90 ; 135 ; 6 920 ; 51,34 
Produkter av surimi, tilberedt/konservert, fryst; 73 ; 3 255 ; 44,41 ; 240 ; 12 097 ; 50,47 ; 143 ; 5 976 ; 41,75 
Andre krepsdyr, tilberedt/konservert; 19 ; 3 349 ; 175,67 ; 82 ; 12 063 ; 147,59 ; 76 ; 8 739 ; 115,08 
Reker, tilberedt/konservert, ikke pillede fryst/pillede i lake; 21 ; 2 619 ; 126,94 ; 100 ; 11 326 ; 113,38 ; 133 ; 13 986 ; 105,04 
Kamskjell, fryst; 16 ; 5 812 ; 360,61 ; 33 ; 9 912 ; 300,42 ; 41 ; 9 967 ; 244,54 
Fiskefett og oljer, annen, ikke til dyrefôr/ikke tran; 73 ; 2 586 ; 35,50 ; 205 ; 8 941 ; 43,71 ; 380 ; 12 755 ; 33,53 
Sei, fryst filet, ikke blokk; 29 ; 2 178 ; 75,56 ; 115 ; 8 418 ; 73,08 ; 41 ; 1 915 ; 46,69 
Torsk, grønnlands-/stillehavs-, fryst hel; -   ; -   ; . ; 164 ; 8 385 ; 51,15 ; 46 ; 1 615 ; 34,98 
Ørret, oppdrettet, fersk hel, ikke med hode; 40 ; 2 949 ; 73,33 ; 111 ; 7 463 ; 66,97 ; 101 ; 5 717 ; 56,80 
Kolmule, fersk hel*; -   ; -   ; . ; 1 992 ; 7 444 ; 3,74 ;;; . 
Andre sjøprodukter (herunder befruktet rogn til klekking), ikke til menneskeføde/ikke til dyrefôr; 13 ; 1 785 ; 142,03 ; 97 ; 6 697 ; 68,90 ; 329 ; 18 694 ; 56,89 
Hyse, fryst filetblokk; 71 ; 3 341 ; 46,78 ; 136 ; 6 602 ; 48,60 ; 97 ; 4 604 ; 47,53 
Annen fisk, fryst filet; 27 ; 3 182 ; 117,65 ; 48 ; 5 964 ; 125,06 ; 28 ; 2 815 ; 101,05 
Skrei, fersk hel; 195 ; 5 530 ; 28,38 ; 195 ; 5 530 ; 28,38 ;;; . 
Laks, fryste spiselige biprodukter; 472 ; 2 160 ; 4,58 ; 1 183 ; 5 312 ; 4,49 ; 1 496 ; 5 453 ; 3,65 
Akvariefisk, ferskvann, levende; 2 ; 2 217 ; 1 220,27 ; 4 ; 5 310 ; 1 345,65 ; 5 ; 6 490 ; 1 198,37 
Torsk, fryst filetblokk; 3 ; 190 ; 69,38 ; 73 ; 5 098 ; 70,08 ; 276 ; 18 419 ; 66,66 
Krabbe, ikke kongekrabbe/snøkrabbe, levende; -   ; -   ; . ; 118 ; 4 494 ; 38,00 ; 53 ; 1 620 ; 30,55 
Fisk/sjøpattedyr, fett/oljer, ikke til dyrefôr; -   ; -   ; . ; 17 ; 3 890 ; 223,14 ; 24 ; 6 246 ; 260,62 
Annen tunfisk/bukstripet pelamide, fryst filet; 5 ; 1 466 ; 282,81 ; 14 ; 3 874 ; 279,99 ; 33 ; 5 661 ; 173,31 
Sardin/sardinella/brisling, tilberedt/konservert, hel/stykker, ikke røykt i olje/tomat; 31 ; 2 289 ; 74,39 ; 49 ; 3 590 ; 73,76 ; 24 ; 1 462 ; 60,20 
Torskefisker, tørrfisk/klippfisk/saltfisk filet andre; 25 ; 1 181 ; 47,25 ; 72 ; 3 546 ; 49,25 ; 47 ; 2 143 ; 45,69 
Torsk, saltet filet; -   ; -   ; . ; 20 ; 3 440 ; 172,00 ; 5 ; 405 ; 77,61 
Hyse, fryst fiskekjøtt; -   ; 9 ; 106,44 ; 88 ; 3 291 ; 37,24 ; 18 ; 450 ; 25,11 
Reker, kaldtvanns-, fersk; 16 ; 1 315 ; 81,29 ; 41 ; 3 290 ; 79,42 ; -   ; 13 ; 179,69 
Nordsjøsild, fersk hel*; -   ; 10 ; 70,13 ; 446 ; 3 245 ; 7,27 ; -   ; 14 ; 36,97 
Alaska pollock, fryst fiskekjøtt; -   ; -   ; . ; 68 ; 3 190 ; 47,19 ; 24 ; 945 ; 39,38 
Sild, tilberedt/konservert, hel/stykker, eddikbehandlet; 20 ; 1 051 ; 52,62 ; 59 ; 3 127 ; 53,02 ; 85 ; 3 228 ; 38,13 
Kaviar (stør rogn); -   ; 1 089 ; 6 889,73 ; -   ; 3 023 ; 6 808,62 ; -   ; 2 089 ; 5 586,26 
Sei, fryst filetblokk; 31 ; 1 055 ; 33,77 ; 80 ; 3 019 ; 37,57 ; 118 ; 3 057 ; 25,94 
Sild, tilberedt/konservert, hel/stykker, ikke kryddersaltet/eddikbehandlet; 32 ; 1 372 ; 43,27 ; 57 ; 2 866 ; 49,90 ; 34 ; 1 846 ; 54,19 
Reker, tilberedt/konservert, pillede, fryste i pakninger høyst 2 kg; 22 ; 2 214 ; 102,36 ; 26 ; 2 829 ; 107,93 ; 91 ; 8 750 ; 96,31 
Sild, tilberedt/konservert, hel/stykker, kryddersaltet; 16 ; 864 ; 52,65 ; 70 ; 2 821 ; 40,40 ; 81 ; 3 314 ; 40,68 
Annet mel/- pellets, spiselig; -   ; -   ; . ; 52 ; 2 698 ; 51,91 ; 268 ; 6 054 ; 22,56 
Amerikansk hummer, levende; 4 ; 1 042 ; 275,75 ; 9 ; 2 372 ; 270,55 ; 10 ; 3 007 ; 304,19 
Laks, fryst filet; 5 ; 1 012 ; 194,96 ; 12 ; 2 354 ; 192,17 ; 85 ; 8 739 ; 103,41 
Blekksprut, tiarmet, fryst; 4 ; 335 ; 83,92 ; 46 ; 2 337 ; 50,83 ; 47 ; 2 424 ; 51,95 
Annen fisk, tørket filet; -   ; 14 ; 140,37 ; 4 ; 2 304 ; 573,66 ; 5 ; 2 474 ; 507,77 
Østers, levende/fersk; 7 ; 652 ; 99,63 ; 20 ; 2 126 ; 105,92 ; 22 ; 2 000 ; 91,44 
Hummer, fryst; 3 ; 734 ; 260,02 ; 30 ; 1 948 ; 64,12 ; 13 ; 3 826 ; 293,82 
