"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Norway","2023","Fish; fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","3959.738","1330","Weight in kilograms","1330"
"Norway","2023","Fish; fresh or chilled, Carp (as specified by the WCO.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","61450.664","6353","Weight in kilograms","6353"
"Norway","2023","Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","107.684","15","Weight in kilograms","15"
"Norway","2023","Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","1654.362","68","Weight in kilograms","68"
"Norway","2023","Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","335768.725","291753","Weight in kilograms","291753"
"Norway","2023","Fish; fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","49675.259","22638","Weight in kilograms","22638"
"Norway","2023","Fish; fresh or chilled, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","350558.99","37370","Weight in kilograms","37370"
"Norway","2023","Fish; fresh or chilled, seabream (Sparidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","696835.097","89153","Weight in kilograms","89153"
"Norway","2023","Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","25779854.809","4749183","Weight in kilograms","4749183"
"Norway","2023","Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","3068142.425","6449448","Weight in kilograms","6449448"
"Norway","2023","Fish; fresh or chilled, livers, roes and milt","Export","1863451.884","345425","Weight in kilograms","345425"
"Norway","2023","Fish; fresh or chilled, livers, roes and milt","Import","650011.284","11264","Weight in kilograms","11264"
"Norway","2023","Fish; fresh or chilled, fish fins (other than shark fins), heads, tails, maws and other edible fish offal","Export","2623000.944","508444","Weight in kilograms","508444"
"Norway","2023","Fish; fresh or chilled, fish fins (other than shark fins), heads, tails, maws and other edible fish offal","Import","3278.025","300","Weight in kilograms","300"
"Norway","2023","Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Export","188499072.892","21586337","Weight in kilograms","21586337"
"Norway","2023","Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","6798.905","584","Weight in kilograms","584"
"Norway","2023","Fish; frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, meat of 0304, and edible fish offal of 0303.91 to 0303.99","Export","45985868.779","6461303","Weight in kilograms","6461303"
"Norway","2023","Fish; frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, meat of 0304, and edible fish offal of 0303.91 to 0303.99","Import","634.389","100","Weight in kilograms","100"
"Norway","2023","Fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Export","197491.389","34546","Weight in kilograms","34546"
"Norway","2023","Fish; frozen, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Export","115.335","20","Weight in kilograms","20"
"Norway","2023","Fish; frozen, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","203419.851","73817","Weight in kilograms","73817"
"Norway","2023","Fish; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","33008.274","11951","Weight in kilograms","11951"
"Norway","2023","Fish; frozen, carp (as specified by the WCO), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","21999.219","2632","Weight in kilograms","2632"
"Norway","2023","Fish; frozen, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","2611.803","100","Weight in kilograms","100"
"Norway","2023","Fish; frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","140.745","23","Weight in kilograms","23"
"Norway","2023","Fish; frozen, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Export","85684532.169","14392155","Weight in kilograms","14392155"
"Norway","2023","Fish; frozen, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","2832190.848","581920","Weight in kilograms","581920"
"Norway","2023","Fish; frozen, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Export","75800.748","52167","Weight in kilograms","52167"
"Norway","2023","Fish; frozen, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","231.992","73","Weight in kilograms","73"
