"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Norway","2011","Fish; dried, whether or not salted but not smoked, other than edible fish offal, n.e.c. in item no. 0305.5","Import","602075","124593","Weight in kilograms","124593"
"Norway","2011","Fish; salted or in brine, not dried or smoked, other than edible fish offal, herrings (Clupea harengas, Clupea pallasii)","Export","2504812","1270979","Weight in kilograms","1270979"
"Norway","2011","Fish; salted or in brine, not dried or smoked, other than edible fish offal, herrings (Clupea harengas, Clupea pallasii)","Import","28124","16849","Weight in kilograms","16849"
"Norway","2011","Fish; salted or in brine, not dried or smoked, other than edible fish offal, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","Export","157787184","25618973","Weight in kilograms","25618973"
"Norway","2011","Fish; salted or in brine, not dried or smoked, other than edible fish offal, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","Import","5530","460","Weight in kilograms","460"
"Norway","2011","Fish; salted or in brine, not dried or smoked, other than edible fish offal, anchovies (Engrails spp.)","Import","63198","15630","Weight in kilograms","15630"
"Norway","2011","Fish; salted or in brine, not dried or smoked, other than edible fish offal, n.e.c. in item no. 0305.6","Export","7684630","2301923","Weight in kilograms","2301923"
"Norway","2011","Fish; salted or in brine, not dried or smoked, other than edible fish offal, n.e.c. in item no. 0305.6","Import","779403","186860","Weight in kilograms","186860"
"Norway","2011","Crustaceans; frozen, rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","Export","40784","1236","Weight in kilograms","1236"
"Norway","2011","Crustaceans; frozen, rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","Import","32913","8145","Weight in kilograms","8145"
"Norway","2011","Crustaceans; frozen, lobsters (Homarus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","Export","265635","12604","Weight in kilograms","12604"
"Norway","2011","Crustaceans; frozen, lobsters (Homarus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","Import","3322498","436192","Weight in kilograms","436192"
"Norway","2011","Shrimps & prawns, whether/not in shell, frozen","Export","11237531","3636955","Weight in kilograms","3636955"
"Norway","2011","Shrimps & prawns, whether/not in shell, frozen","Import","71810763","13731316","Weight in kilograms","13731316"
"Norway","2011","Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","Export","32073639","1888214","Weight in kilograms","1888214"
"Norway","2011","Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","Import","5350061","170970","Weight in kilograms","170970"
"Norway","2011","Crustaceans; frozen, n.e.c. in item no. 0306.1, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","Export","230638","51807","Weight in kilograms","51807"
"Norway","2011","Crustaceans; frozen, n.e.c. in item no. 0306.1, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","Import","1798389","160663","Weight in kilograms","160663"
"Norway","2011","Crustaceans; not frozen, rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or boiling in water; edible flours, meals, pellets","Export","53891","1982","Weight in kilograms","1982"
"Norway","2011","Crustaceans; not frozen, lobsters (Homarus spp.), whether in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flours, meals, and pellets","Export","489649","10905","Weight in kilograms","10905"
"Norway","2011","Crustaceans; not frozen, lobsters (Homarus spp.), whether in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flours, meals, and pellets","Import","3529337","186461","Weight in kilograms","186461"
"Norway","2011","Shrimps & prawns, whether/not in shell, other than frozen","Export","6030625","588639","Weight in kilograms","588639"
"Norway","2011","Shrimps & prawns, whether/not in shell, other than frozen","Import","77468","4955","Weight in kilograms","4955"
"Norway","2011","Crustaceans; not frozen, crabs, whether in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flours, meals, and pellets","Export","3745026","175825","Weight in kilograms","175825"
"Norway","2011","Crustaceans; not frozen, crabs, whether in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flours, meals, and pellets","Import","113963","6553","Weight in kilograms","6553"
"Norway","2011","Crustaceans; not frozen, n.e.c. in item no. 0306.2, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; including edible flours, meals, and pellets of crustaceans","Export","10476295","1479442","Weight in kilograms","1479442"
"Norway","2011","Crustaceans; not frozen, n.e.c. in item no. 0306.2, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; including edible flours, meals, and pellets of crustaceans","Import","724242","458935","Weight in kilograms","458935"
